id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
16,,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"100.0 Wemmelsestweg, Brussel, Bruxelles-Brussel, Belgium 1090",50.8747739,4.3314996
17,,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg,,N,,,"5.0 Rue Pietro Ferrero, ARLON, Luxembourg, Belgium 6700",49.6745435,5.818557
18,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,"80.0 Tweestationsstraat, Brussel, Bruxelles-Brussel, Belgium 1070",50.8314212,4.3222147
19,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,"1.0 Nieuwe Weg , ZWIJNDRECHT, Antwerpen, Belgium 2070",51.2398636,4.3272098
20,,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant,,,,,"2.0 Hermeslaan, MachelenBt), Vlaams-Brabant, Belgium 1831",50.8819608,4.441951
21,,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg,,Y,,,"1.0 Gemeenteplein, Voeren  s Gravenvoeren, Limburg, Belgium 3798",50.7594861,5.7597806
22,,Remersdaal-Dorp,1.0,3791.0,Remersdaal,Limburg,,,,,"1.0 Remersdaal-Dorp, Remersdaal, Limburg, Belgium 3791",50.7297617,5.8785602
23,,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg,,Y,,,"20.0 Sint-Pieterstraat , Sint-Pieters-Voeren, Limburg, Belgium 3792",50.7353624,5.8246102
24,,Kerkplein,1.0,3790.0,Moelingen,Limburg,,Y,,,"1.0 Kerkplein, Moelingen, Limburg, Belgium 3790",50.7572831,5.7107026
25,,Gieveldstraat,,3793.0,Teuven,Limburg,,Y,,," Gieveldstraat, Teuven, Limburg, Belgium 3793",50.7518324,5.8759546
26,,Kerkstraat,1.0,3790.0,VOEREN,Limburg,,Y,,,"1.0 Kerkstraat, VOEREN, Limburg, Belgium 3790",50.7488563,5.812563
27,,Vanhalstraat,1.0,1500.0,Halle,Vlaams-Brabant,,y,,,"1.0 Vanhalstraat, Halle, Vlaams-Brabant, Belgium 1500",50.73248479999999,4.234912899999999
28,,Brikkenovenstraat,48.0,3600.0,Genk,Limburg,,N,,,"48.0 Brikkenovenstraat, Genk, Limburg, Belgium 3600",50.9792712,5.4711585
29,,Rue de l église,,1150.0,Bruxelles,Bruxelles-Brussel,,,,," Rue de l église, Bruxelles, Bruxelles-Brussel, Belgium 1150",50.8407211,4.4634331
30,,Cours des mineurs,,4000.0,Liège,Liège,,,,," Cours des mineurs, Liège, Liège, Belgium 4000",50.6472929,5.5760923
31,,Rue des Croisiers,15.0,4000.0,Liège,Liège,,,,,"15.0 Rue des Croisiers, Liège, Liège, Belgium 4000",50.6393547,5.5761561
32,,Rue de l école technique ,,4040.0,Herstal,Liège,,,,," Rue de l école technique , Herstal, Liège, Belgium 4040",50.6715508,5.6402438
33,,Rue de Wallonie,30.0,4460.0,Bierset,Liège,,,,,"30.0 Rue de Wallonie, Bierset, Liège, Belgium 4460",50.653661,5.4888011
34,,Rue Paul d Andrimont,24.0,4630.0,Micheroux,Liège,,,,,"24.0 Rue Paul d Andrimont, Micheroux, Liège, Belgium 4630",50.6258166,5.7163815
35,,Bd. Léon Philippet,83.0,4000.0,Liège,Liège,,,,,"83.0 Bd. Léon Philippet, Liège, Liège, Belgium 4000",50.6527913,5.5594107
36,,Rue du Commerce,14.0,4100.0,Seraing,Liège,,,,,"14.0 Rue du Commerce, Seraing, Liège, Belgium 4100",50.6126943,5.5083713
37,,Rue Peetermans,80.0,4100.0,Seraing,Liège,,,,,"80.0 Rue Peetermans, Seraing, Liège, Belgium 4100",50.6117019,5.5101966
38,,Rue J. Stassart,15.0,4367.0,Crisnée,Liège,,,,,"15.0 Rue J. Stassart, Crisnée, Liège, Belgium 4367",50.7081407,5.3898948
39,,Route de Dinant,119.0,4020.0,Liège,Liège,,,,,"119.0 Route de Dinant, Liège, Liège, Belgium 4020",50.6415737,5.5823234
40,,Rue de Huy,123.0,4300.0,Waremme,Liège,,,,,"123.0 Rue de Huy, Waremme, Liège, Belgium 4300",50.6743418,5.2512582
41,,Rue de Sélys,35.0,4300.0,Waremme,Liège,,,,,"35.0 Rue de Sélys, Waremme, Liège, Belgium 4300",50.6906196,5.2420853
42,,Rue St. Pierre,48.0,4500.0,Huy,Liège,,,,,"48.0 Rue St. Pierre, Huy, Liège, Belgium 4500",50.5224312,5.2355908
43,,Avenue Delchambre,6.0,4500.0,Huy,Liège,,,,,"6.0 Avenue Delchambre, Huy, Liège, Belgium 4500",50.5212782,5.2402073
44,,Rue Lambert Marlet,23.0,4020.0,Liège,Liège,,,,,"23.0 Rue Lambert Marlet, Liège, Liège, Belgium 4020",50.6844201,5.7233941
45,,Rue Aux Laines,69.0,4800.0,Verviers,Liège,,,,,"69.0 Rue Aux Laines, Verviers, Liège, Belgium 4800",50.5891081,5.8515833
46,,Rue av. Peltzer,40.0,4020.0,Liège,Liège,,,,,"40.0 Rue av. Peltzer, Liège, Liège, Belgium 4020",50.6423532,5.6279411
47,,Route du Canada,157.0,4910.0,La Reid,Liège,,,,,"157.0 Route du Canada, La Reid, Liège, Belgium 4910",50.4893888,5.790589
48,,Route de Botrange,131.0,4950.0,Robertville,Liège,,,,,"131.0 Route de Botrange, Robertville, Liège, Belgium 4950",50.4907832,6.1058516
49,,Grand Route,317.0,4400.0,,Liège,,,,,"317.0 Grand Route, None, Liège, Belgium 4400",50.5989286,5.4699894
50,,Avenue Montesquieu,6.0,4101.0,Jemeppe-sur-Meuse,Liège,,,,,"6.0 Avenue Montesquieu, Jemeppe-sur-Meuse, Liège, Belgium 4101",50.6189796,5.5151582
51,,Rue Grand Puits,,4040.0,Herstal,Liège,,,,," Rue Grand Puits, Herstal, Liège, Belgium 4040",50.6716874,5.6393763
52,,Rue de la Bouviere,1.0,4190.0,Vieuxville,Liège,,,,,"1.0 Rue de la Bouviere, Vieuxville, Liège, Belgium 4190",50.39379,5.54955
53,,Da Vincilaan,,1930.0,Zaventem,Vlaams-Brabant,,,,," Da Vincilaan, Zaventem, Vlaams-Brabant, Belgium 1930",50.8892246,4.4591702
54,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen,,,,,"24.0 Adriaan Brouwerstraat, Antwerpen, Antwerpen, Belgium 2000",51.2275756,4.4034814
55,,Kempenarestraat,53.0,2860.0,Sint-Katelijne-Waver,Antwerpen,,Y,,,"53.0 Kempenarestraat, Sint-Katelijne-Waver, Antwerpen, Belgium 2860",51.0640782,4.5193812
56,,Koninginnelaan,1.0,8400.0,Oostende,West-Vlaanderen,,,,,"1.0 Koninginnelaan, Oostende, West-Vlaanderen, Belgium 8400",51.2226732,2.9116038
57,,Northlaan,13.0,8400.0,Oostende,West-Vlaanderen,,,,,"13.0 Northlaan, Oostende, West-Vlaanderen, Belgium 8400",51.2180627,2.8892599
58,,Kursaal - Oosthelling,12.0,8400.0,Oostende,West-Vlaanderen,,,,,"12.0 Kursaal - Oosthelling, Oostende, West-Vlaanderen, Belgium 8400",51.232146,2.9126781
59,,Leopold Van Tyghemlaan,62.0,8400.0,Oostende,West-Vlaanderen,,,,,"62.0 Leopold Van Tyghemlaan, Oostende, West-Vlaanderen, Belgium 8400",51.2162365,2.8874038
60,,Wetstraat,23.0,1040.0,Brussel,Bruxelles-Brussel,,,,,"23.0 Wetstraat, Brussel, Bruxelles-Brussel, Belgium 1040",50.8436372,4.377997
61,,Grotesteenweg - Noord,9.0,9052.0,Gent,Oost-Vlaanderen,,,,,"9.0 Grotesteenweg - Noord, Gent, Oost-Vlaanderen, Belgium 9052",51.0132601,3.7058792
62,,Kunstlaan,16.0,3500.0,Hasselt,Limburg,,,,,"16.0 Kunstlaan, Hasselt, Limburg, Belgium 3500",50.9270688,5.3454196
63,,Interleuvenlaan ,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"58.0 Interleuvenlaan , Leuven, Vlaams-Brabant, Belgium 3001",50.8507187,4.7303674
64,,Sint-Katelijnestraat ,154.0,2800.0,Mechelen,Antwerpen,,,,,"154.0 Sint-Katelijnestraat , Mechelen, Antwerpen, Belgium 2800",51.0317768,4.4766294
65,,Hof ter Weze,1.0,8800.0,Roeselare,West-Vlaanderen,,,,,"1.0 Hof ter Weze, Roeselare, West-Vlaanderen, Belgium 8800",50.92374,3.11918
66,,Patersstraat,100.0,2300.0,Turnhout,Antwerpen,,,,,"100.0 Patersstraat, Turnhout, Antwerpen, Belgium 2300",51.3262867,4.9494814
67,,Interleuven,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"58.0 Interleuven, Leuven, Vlaams-Brabant, Belgium 3001",50.8826624,4.6967705
68,, Ingelmunstersteenweg,11.0,8760.0,Meulebeke,West-Vlaanderen,,,,,"11.0  Ingelmunstersteenweg, Meulebeke, West-Vlaanderen, Belgium 8760",50.9444025,3.2766949
69,,Chaussée de Haecht,1405.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,"1405.0 Chaussée de Haecht, Bruxelles, Bruxelles-Brussel, Belgium 1130",50.8812591,4.4160117
70,,Avenue du Bois St. Jean,21.0,4000.0,Liège,Liège,,,,,"21.0 Avenue du Bois St. Jean, Liège, Liège, Belgium 4000",50.5788411,5.5554202
71,,Keienpoelweg,6.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,"6.0 Keienpoelweg, Tienen, Vlaams-Brabant, Belgium 3300",50.7953429,4.9902691
72,,Avenue de Gaulle,2.0,7500.0,Tournai,Hainaut,,Y,,,"2.0 Avenue de Gaulle, Tournai, Hainaut, Belgium 7500",50.6058876,3.3782135
73,,Haven 1968 Sint Annalaan ,1.0,9130.0,Kallo,Oost-Vlaanderen,,Y,,,"1.0 Haven 1968 Sint Annalaan , Kallo, Oost-Vlaanderen, Belgium 9130",51.2881745,4.2892698
74,,Bld Leopold II,44.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"44.0 Bld Leopold II, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.860875,4.3386838
75,,Adolphe Lavallée,1.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"1.0 Adolphe Lavallée, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.8589961,4.3419258
76,,Bld. Du jardin Botanique,,1000.0,Bruxelles,Bruxelles-Brussel,,,,," Bld. Du jardin Botanique, Bruxelles, Bruxelles-Brussel, Belgium 1000",50.8546109,4.3606333
77,,Ch. St - Joseph,4.0,1440.0,Braine-le-Château,Brabant Wallon,,,,,"4.0 Ch. St - Joseph, Braine-le-Château, Brabant Wallon, Belgium 1440",50.6715622,4.3055208
78,,Rue des boignées,13.0,1440.0,Wauthier-Braine,Brabant Wallon,,,,,"13.0 Rue des boignées, Wauthier-Braine, Brabant Wallon, Belgium 1440",50.6737108,4.3023311
79,,Rue de l institut,8.0,6040.0,Jumet,Hainaut,,,,,"8.0 Rue de l institut, Jumet, Hainaut, Belgium 6040",50.44272489999999,4.4370311
80,,Rue de Bricgniot,196.0,5002.0,Saint-Servais,Namur,,,,,"196.0 Rue de Bricgniot, Saint-Servais, Namur, Belgium 5002",50.4818182,4.8266295
81,,Rue sur les bois,113.0,4870.0,Fraipont,Liège,,,,,"113.0 Rue sur les bois, Fraipont, Liège, Belgium 4870",50.5608393,5.746647
82,,Rue de l Hydrion 108l,108.0,6700.0,Arlon,Luxembourg,,,,,"108.0 Rue de l Hydrion 108l, Arlon, Luxembourg, Belgium 6700",49.6836918,5.7942668
83,,Place des Sports,3.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,"3.0 Place des Sports, Louvain-la-Neuve, Brabant Wallon, Belgium 1348",50.670199,4.6014444
84,,Rue de la Marlette,3.0,7180.0,Seneffe,Hainaut,,,,,"3.0 Rue de la Marlette, Seneffe, Hainaut, Belgium 7180",50.5083586,4.2686247
85,,Av. de la Sapinette,3.0,7000.0,Mons,Hainaut,,,,,"3.0 Av. de la Sapinette, Mons, Hainaut, Belgium 7000",50.4668862,3.9417508
86,,Av. du Lac ,56.0,7640.0,Antoing,Hainaut,,,,,"56.0 Av. du Lac , Antoing, Hainaut, Belgium 7640",50.5455338,3.4469539
87,,Av. Amédée Hesse,41.0,4900.0,Spa,Liège,,,,,"41.0 Av. Amédée Hesse, Spa, Liège, Belgium 4900",50.4980027,5.8808452
88,,Ile de Campana,,4030.0,Grivegnée,Liège,,,,," Ile de Campana, Grivegnée, Liège, Belgium 4030",50.5979533,5.592257099999999
89,,Allée des Sports,63.0,4000.0,Liège,Liège,,,,,"63.0 Allée des Sports, Liège, Liège, Belgium 4000",50.5772729,5.5690988
90,,Allée du Stade,3.0,5100.0,Jambes,Namur,,,,,"3.0 Allée du Stade, Jambes, Namur, Belgium 5100",50.4564594,4.8739337
91,,Rue Chéravoie,2.0,6840.0,Neufchâteau,Luxembourg,,,,,"2.0 Rue Chéravoie, Neufchâteau, Luxembourg, Belgium 6840",49.8408789,5.4334105
92,,Site de l Eau d Heure,4.0,6440.0,Froidchapelle,Hainaut,,,,,"4.0 Site de l Eau d Heure, Froidchapelle, Hainaut, Belgium 6440",50.1857528,4.3823302
93,,Allée des Sports,12.0,6280.0,Loverval,Hainaut,,,,,"12.0 Allée des Sports, Loverval, Hainaut, Belgium 6280",50.3708294,4.4721495
94,,Rue du Liry,21.0,6810.0,Chiny,Luxembourg,,,,,"21.0 Rue du Liry, Chiny, Luxembourg, Belgium 6810",49.7371728,5.3463578
95,,Chée de Wavre,2057.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,"2057.0 Chée de Wavre, Bruxelles, Bruxelles-Brussel, Belgium 1160",50.8169071,4.4241806
96,,Av. Mounier,87.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,"87.0 Av. Mounier, Bruxelles, Bruxelles-Brussel, Belgium 1200",50.8507765,4.4537123
97,,Rue des Grives,53.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,"53.0 Rue des Grives, Bruxelles, Bruxelles-Brussel, Belgium 1070",50.8165794,4.2971445
98,,Omer Vanaudenhovelaan,48.0,3290.0,Diest,Vlaams-Brabant,,Y,,,"48.0 Omer Vanaudenhovelaan, Diest, Vlaams-Brabant, Belgium 3290",50.9856745,5.0621823
99,,Fabriekstraat,,3980.0,Tessenderlo,Limburg,,,,," Fabriekstraat, Tessenderlo, Limburg, Belgium 3980",50.818084,5.1730648
100,,Pastorijstraat ,118.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,"118.0 Pastorijstraat , Tienen, Vlaams-Brabant, Belgium 3300",50.7886517,4.9198733
101,,Brand Whitlocklaan,165.0,1200.0,Brussel,Bruxelles-Brussel,,,,,"165.0 Brand Whitlocklaan, Brussel, Bruxelles-Brussel, Belgium 1200",50.8422687,4.4061025
102,,Gobelinstraat,3.0,9700.0,Oudenaarde,Oost-Vlaanderen,,,,,"3.0 Gobelinstraat, Oudenaarde, Oost-Vlaanderen, Belgium 9700",50.8483672,3.6026861
103,,Kolonel Begaultlaan ,15.0,3012.0,Wilsele,Vlaams-Brabant,,,,,"15.0 Kolonel Begaultlaan , Wilsele, Vlaams-Brabant, Belgium 3012",50.8958652,4.7062523
104,,Beeldhouwkunstlaan,,1700.0,Dilbeek,Vlaams-Brabant,,N,,," Beeldhouwkunstlaan, Dilbeek, Vlaams-Brabant, Belgium 1700",50.84208,4.2795
105,,Kapelstraat,100.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,Y,,,"100.0 Kapelstraat, Sint-Niklaas, Oost-Vlaanderen, Belgium 9100",51.1507477,4.1539129
106,,Vierwegstraat,194.0,8800.0,Roeselare,West-Vlaanderen,,,,,"194.0 Vierwegstraat, Roeselare, West-Vlaanderen, Belgium 8800",50.949417,3.1488381
107,,Paderstraat ,158.0,8620.0,Nieuwpoort,West-Vlaanderen,,,,,"158.0 Paderstraat , Nieuwpoort, West-Vlaanderen, Belgium 8620",51.1153091,2.772014
108,,Haarlebeek,3.0,2275.0,Lille,Antwerpen,,,,,"3.0 Haarlebeek, Lille, Antwerpen, Belgium 2275",51.2835329,4.827163
109,,Pedro Colomalaan,25.0,2880.0,Bornem,Antwerpen,,,,,"25.0 Pedro Colomalaan, Bornem, Antwerpen, Belgium 2880",51.0921553,4.2518637
110,,Parc Industriel Zone A,,7011.0,Ghlin,Hainaut,,,,," Parc Industriel Zone A, Ghlin, Hainaut, Belgium 7011",50.4795587,3.8959785
111,,Wiemesmeerstraat ,105.0,3600.0,Genk,Limburg,,Y,,,"105.0 Wiemesmeerstraat , Genk, Limburg, Belgium 3600",50.9803234,5.5471722
112,,Schurhovenveld ,4820.0,3800.0,Sint-Truiden,Limburg,,,,,"4820.0 Schurhovenveld , Sint-Truiden, Limburg, Belgium 3800",50.8019192,5.2202655
113,,Vlasland,4.0,2260.0,Westerlo,Antwerpen,,Y,,,"4.0 Vlasland, Westerlo, Antwerpen, Belgium 2260",51.0958701,4.8698926
114,,Vlieghavenlaan,50.0,3140.0,Keerbergen,Vlaams-Brabant,,,,,"50.0 Vlieghavenlaan, Keerbergen, Vlaams-Brabant, Belgium 3140",51.0047679,4.6706963
115,,Slachthuislaan,74.0,2060.0,Antwerpen,Antwerpen,,,,,"74.0 Slachthuislaan, Antwerpen, Antwerpen, Belgium 2060",51.2316399,4.4338623
116,,Elzen,145.0,3920.0,Lommel,Limburg,,,,,"145.0 Elzen, Lommel, Limburg, Belgium 3920",51.2552993,5.3272894
117,,Arianelaan,5.0,1200.0,Brussel,Bruxelles-Brussel,,,,,"5.0 Arianelaan, Brussel, Bruxelles-Brussel, Belgium 1200",50.85818,4.43229
118,,Stift,2.0,3960.0,Bree,Limburg,,,,,"2.0 Stift, Bree, Limburg, Belgium 3960",51.142941,5.5944918
119,,Katjeswilgenlaan ,,3010.0,Kessel-Lo,Vlaams-Brabant,,N,,," Katjeswilgenlaan , Kessel-Lo, Vlaams-Brabant, Belgium 3010",50.8936461,4.7186837
120,,Weerstandlaan,24.0,2660.0,Hoboken,Antwerpen,,,,,"24.0 Weerstandlaan, Hoboken, Antwerpen, Belgium 2660",51.1862705,4.3705094
121,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,," Citadelpark , Gent, Oost-Vlaanderen, Belgium 9000",51.0390299,3.7237006
122,,Tervuursevest,101.0,3001.0,Heverlee,Vlaams-Brabant,,,,,"101.0 Tervuursevest, Heverlee, Vlaams-Brabant, Belgium 3001",50.8693841,4.6908514
123,,Speiestraat,32.0,8940.0,Wervik,West-Vlaanderen,,N,,,"32.0 Speiestraat, Wervik, West-Vlaanderen, Belgium 8940",50.780152,3.0487826
124,,Place des sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,"1.0 Place des sports, Louvain-la-Neuve, Brabant Wallon, Belgium 1348",50.670199,4.6014444
125,,Rue du Castinia,,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,," Rue du Castinia, Louvain-la-Neuve, Brabant Wallon, Belgium 1348",50.6702865,4.6052193
126,,Liersestwg.,4.0,2800.0,Mechelen,Antwerpen,,,,,"4.0 Liersestwg., Mechelen, Antwerpen, Belgium 2800",51.053569,4.4805214
127,,Route St - Hubert,1.0,6800.0,Recogne,Luxembourg,,,,,"1.0 Route St - Hubert, Recogne, Luxembourg, Belgium 6800",50.0155148,5.4575392
128,,Vaartstraat,60.0,8710.0,Wielsbeke,West-Vlaanderen,,,,,"60.0 Vaartstraat, Wielsbeke, West-Vlaanderen, Belgium 8710",50.9056165,3.3329446
129,,Ooigemstraat,12.0,8710.0,Wielsbeke,West-Vlaanderen,,,,,"12.0 Ooigemstraat, Wielsbeke, West-Vlaanderen, Belgium 8710",50.9018297,3.3588359
130,,Westerring,15.0,9700.0,Oudenaarde,Oost-Vlaanderen,,,,,"15.0 Westerring, Oudenaarde, Oost-Vlaanderen, Belgium 9700",50.8600356,3.5965213
131,,Nazarethsesteenweg,77.0,9800.0,Astene,Oost-Vlaanderen,,N,,,"77.0 Nazarethsesteenweg, Astene, Oost-Vlaanderen, Belgium 9800",50.9741866,3.572166
132,,Lamorinierestraat,,2018.0,Antwerpen,Antwerpen,,Y,,," Lamorinierestraat, Antwerpen, Antwerpen, Belgium 2018",51.2035955,4.420659
133,,Riderveldlaan,5.0,2018.0,Antwerpen,Antwerpen,,Y,,,"5.0 Riderveldlaan, Antwerpen, Antwerpen, Belgium 2018",51.0942472,4.3532407
134,,Nijverheidslaan,7.0,3200.0,Aarschot,Vlaams-Brabant,,,,,"7.0 Nijverheidslaan, Aarschot, Vlaams-Brabant, Belgium 3200",50.9911393,4.8227234
135,,Nijverheidslaan,,3200.0,Aarschot,Vlaams-Brabant,,,,," Nijverheidslaan, Aarschot, Vlaams-Brabant, Belgium 3200",50.9911393,4.8227234
136,,Schaliehoevestraat ,12.0,2220.0,Heist-Op-Den-Berg,Antwerpen,,,,,"12.0 Schaliehoevestraat , Heist-Op-Den-Berg, Antwerpen, Belgium 2220",51.0492684,4.7033045
137,,Cipaalstraat ,8.0,2440.0,Geel,Antwerpen,,,,,"8.0 Cipaalstraat , Geel, Antwerpen, Belgium 2440",51.1776625,4.9957571
138,,Erperheidestraat,2.0,3990.0,Peer,Limburg,,Y,,,"2.0 Erperheidestraat, Peer, Limburg, Belgium 3990",51.128891,5.5050819
139,,Koldamstraat,9.0,1560.0,Hoeilaart,Vlaams-Brabant,,,,,"9.0 Koldamstraat, Hoeilaart, Vlaams-Brabant, Belgium 1560",50.7683734,4.4769566
140,,Nekkerspoelstraat,199.0,2800.0,Mechelen,Antwerpen,,,,,"199.0 Nekkerspoelstraat, Mechelen, Antwerpen, Belgium 2800",51.0316932,4.4982375
141,,Kruisstraat,54.0,3120.0,Tremelo,Vlaams-Brabant,,,,,"54.0 Kruisstraat, Tremelo, Vlaams-Brabant, Belgium 3120",50.9944506,4.6868767
142,,Av. de Burlet,4.0,1400.0,Nivelles,Brabant Wallon,,,,,"4.0 Av. de Burlet, Nivelles, Brabant Wallon, Belgium 1400",50.6012326,4.3321286
143,,Zeypestraat,26.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,"26.0 Zeypestraat, Kampenhout, Vlaams-Brabant, Belgium 1910",50.9514219,4.563022
144,,Bergtorfbroeklaan,,1910.0,Kampenhout,Vlaams-Brabant,,Y,,," Bergtorfbroeklaan, Kampenhout, Vlaams-Brabant, Belgium 1910",50.9338827,4.5605498
145,,Kerkstraat,34.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,"34.0 Kerkstraat, Kampenhout, Vlaams-Brabant, Belgium 1910",50.9394142,4.5486243
146,,Steenweg op Zevendonk ,18.0,2300.0,Turnhout,Antwerpen,,Y,,,"18.0 Steenweg op Zevendonk , Turnhout, Antwerpen, Belgium 2300",51.3050618,4.9501904
147,,Uilenbaan,15.0,2160.0,Wommelgem,Antwerpen,,,,,"15.0 Uilenbaan, Wommelgem, Antwerpen, Belgium 2160",51.213423,4.51271
148,,Reep,1.0,9000.0,Gent,Oost-Vlaanderen,,Y,,,"1.0 Reep, Gent, Oost-Vlaanderen, Belgium 9000",51.0525666,3.7295712
149,,Vlamingenstraat,83.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,"83.0 Vlamingenstraat, Leuven, Vlaams-Brabant, Belgium 3000",50.8750887,4.7034278
150,,Steenweg op Tielen ,51.0,2300.0,Turnhout,Antwerpen,,Y,,,"51.0 Steenweg op Tielen , Turnhout, Antwerpen, Belgium 2300",51.2984995,4.9329758
151,,Cathilleweg t,38.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"38.0 Cathilleweg t, Jabbeke, West-Vlaanderen, Belgium 8490",51.215602,3.0710999
152,,Sarkoheemstraa,2.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"2.0 Sarkoheemstraa, Jabbeke, West-Vlaanderen, Belgium 8490",51.1908146,3.0994984
153,,Oude Dorpweg,58.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"58.0 Oude Dorpweg, Jabbeke, West-Vlaanderen, Belgium 8490",51.1868021,3.1436888
154,,Eernegemweg  ,,8490.0,Jabbeke,West-Vlaanderen,,,,," Eernegemweg  , Jabbeke, West-Vlaanderen, Belgium 8490",51.1642889,3.1055725
155,,Dorpsstraat,,8490.0,Jabbeke,West-Vlaanderen,,,,," Dorpsstraat, Jabbeke, West-Vlaanderen, Belgium 8490",51.1822325,3.0915085
156,,Parklaan ,,2300.0,Turnhout,Antwerpen,,N,,," Parklaan , Turnhout, Antwerpen, Belgium 2300",51.3125859,4.9454041
157,,Motstraat,32.0,2800.0,Mechelen,Antwerpen,,,,,"32.0 Motstraat, Mechelen, Antwerpen, Belgium 2800",51.0144121,4.4919669
158,,Zeutestraat ,5.0,2800.0,Mechelen,Antwerpen,,,,,"5.0 Zeutestraat , Mechelen, Antwerpen, Belgium 2800",51.01104,4.492018
